City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,maragogi,92,BR,1525254559,100,-9.01,-35.22,73.73,5.32
124,arco,75,IT,1525252800,87,45.92,10.89,55.4,3.36
125,luang prabang,90,LA,1525251600,78,19.89,102.14,82.4,4.7
126,la ronge,75,CA,1525251600,82,55.1,-105.3,33.8,4.7
127,bredasdorp,20,ZA,1525251600,38,-34.53,20.04,73.4,17.22
128,salinopolis,92,BR,1525254872,100,-0.61,-47.36,75.98,9.46
129,novomikhaylovskiy,0,RU,1525254872,29,44.26,38.86,83.72,2.53
130,khorinsk,0,RU,1525254872,38,52.16,109.78,62.21,5.99
131,paamiut,36,GL,1525254592,100,61.99,-49.67,26.21,21.09
132,batemans bay,64,AU,1525254873,98,-35.71,150.18,58.97,5.32
133,marawi,88,PH,1525254873,97,8.0,124.29,74.09,2.3
134,chokurdakh,88,RU,1525254509,91,70.62,147.9,32.42,19.3
135,dryden,90,CA,1525251720,100,49.79,-92.84,33.8,3.36
136,pevek,12,RU,1525254549,62,69.7,170.27,12.08,4.65
137,chor,0,PK,1525254874,28,25.52,69.77,108.11,13.27
138,dunedin,8,NZ,1525254475,86,-45.87,170.5,37.91,2.42
139,yaan,20,NG,1525254875,80,7.38,8.57,84.98,8.34
140,nome,90,US,1525252680,88,30.04,-94.42,75.2,9.17
141,idrinskoye,48,RU,1525254875,83,54.37,92.14,43.13,5.99
142,iqaluit,75,CA,1525251600,77,63.75,-68.52,1.4,8.05
143,lucea,20,JM,1525251600,78,18.44,-78.17,77.0,2.24
144,caraquet,90,CA,1525251600,100,47.79,-64.94,35.6,9.24
145,biloela,32,AU,1525254877,57,-24.4,150.51,68.6,7.34
146,salacgriva,0,LV,1525254877,76,57.75,24.36,51.68,15.61
147,mar del plata,56,AR,1525254480,86,-46.43,-67.52,47.36,12.71
148,matamoros,90,US,1525251180,83,25.87,-97.51,80.6,16.11
149,langxiang,68,CN,1525254878,34,46.95,128.87,51.41,5.21
150,mahebourg,75,MU,1525251600,65,-20.41,57.7,82.4,14.99
151,victoria,75,BN,1525251600,88,5.28,115.24,84.2,5.82
152,hasaki,90,JP,1525251600,60,35.73,140.83,71.6,6.93
153,omsukchan,68,RU,1525254879,88,62.53,155.8,24.95,2.3
154,laguna,92,MX,1525254588,69,27.52,-110.01,66.08,1.52
155,gloversville,20,US,1525251180,70,43.05,-74.34,46.4,6.33
156,provideniya,12,RU,1525254480,100,64.42,-173.23,26.48,1.41
157,suixi,0,CN,1525254880,50,33.92,116.76,68.96,11.25
